area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1978,kt,2.2596
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1978,kt,1.8445
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1978,kt,0.415
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1979,kg,114926220.0035
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1979,kt,2.2123
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1979,kt,1.806
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1979,kt,0.4063
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1980,kg,122245400.8175
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1980,kt,2.3532
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1980,kt,1.921
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1980,kt,0.4322
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1981,kg,121275308.5692
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1981,kt,2.3345
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1981,kt,1.9058
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1981,kt,0.4288
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1982,kg,128446966.8863
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1982,kt,2.4726
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1982,kt,2.0185
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1982,kt,0.4542
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1983,kg,117623025.9493
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1983,kt,2.2642
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1983,kt,1.8484
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1983,kt,0.4159
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1984,kg,128220676.9743
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1984,kt,2.4682
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1984,kt,2.0149
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1984,kt,0.4534
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1985,kg,114101056.8023
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1985,kt,2.1964
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1985,kt,1.793
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1985,kt,0.4034
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1986,kg,116740904.7532
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1986,kt,2.2473
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1986,kt,1.8345
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1986,kt,0.4128
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1987,kg,107945817.2218
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1987,kt,2.078
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1987,kt,1.6963
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1987,kt,0.3817
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1988,kg,102691125.0292
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1988,kt,1.9768
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1988,kt,1.6137
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1988,kt,0.3631
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1989,kg,94698113.1575
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1989,kt,1.8229
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1989,kt,1.4881
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1989,kt,0.3348
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1990,kg,92085718.9263
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1990,kt,1.7727
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1990,kt,1.4471
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1990,kt,0.3256
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1991,kg,88513879.7684
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1991,kt,1.7039
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1991,kt,1.3909
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1991,kt,0.313
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1992,kg,85188059.2864
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1992,kt,1.6399
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1992,kt,1.3387
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1992,kt,0.3012
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1993,kg,70434140.3948
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1993,kt,1.3559
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1993,kt,1.1068
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1993,kt,0.249
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1994,kg,69129548.3007
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1994,kt,1.3307
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1994,kt,1.0863
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1994,kt,0.2444
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1995,kg,79032715.1286
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1995,kt,1.5214
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1995,kt,1.2419
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1995,kt,0.2794
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1996,kg,89204714.7897
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1996,kt,1.7172
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1996,kt,1.4018
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1996,kt,0.3154
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1997,kg,90493134.7446
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1997,kt,1.742
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1997,kt,1.422
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1997,kt,0.32
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1998,kg,77127772.3911
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1998,kt,1.4847
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1998,kt,1.212
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1998,kt,0.2727
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1999,kg,76276829.47
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1999,kt,1.4683
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1999,kt,1.1986
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1999,kt,0.2697
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2000,kg,75053850.8653
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2000,kt,1.4448
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2000,kt,1.1794
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2000,kt,0.2654
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2001,kg,77476805.2582
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2001,kt,1.4914
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2001,kt,1.2175
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2001,kt,0.2739
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2002,kg,71043613.5174
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2002,kt,1.3676
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2002,kt,1.1164
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2002,kt,0.2512
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2003,kg,73369222.0902
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2003,kt,1.4124
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2003,kt,1.1529
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2003,kt,0.2594
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2004,kg,67039189.2188
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2004,kt,1.2905
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2004,kt,1.0535
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2004,kt,0.237
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2005,kg,63435913.4556
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2005,kt,1.2211
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2005,kt,0.9969
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2005,kt,0.2243
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2006,kg,60408337.9683
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2006,kt,1.1629
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2006,kt,0.9493
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2006,kt,0.2136
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2007,kg,58803225.9491
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2007,kt,1.132
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2007,kt,0.9241
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2007,kt,0.2079
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2008,kg,70836553.0725
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2008,kt,1.3636
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2008,kt,1.1131
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2008,kt,0.2505
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2009,kg,77003925.2678
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2009,kt,1.4823
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2009,kt,1.2101
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2009,kt,0.2723
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2010,kg,60764702.7857
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2010,kt,1.1697
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2010,kt,0.9549
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2010,kt,0.2148
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2011,kg,63600297.4367
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2011,kt,1.2243
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2011,kt,0.9994
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2011,kt,0.2249
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2012,kg,64072886.2697
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2012,kt,1.2334
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2012,kt,1.0069
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2012,kt,0.2265
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2013,kg,81885853.5876
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2013,kt,1.5763
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2013,kt,1.2868
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2013,kt,0.2895
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2014,kg,79237480.3746
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2014,kt,1.5253
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2014,kt,1.2452
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2014,kt,0.2802
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2015,kg,84222057.468
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2015,kt,1.6213
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2015,kt,1.3235
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2015,kt,0.2978
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2016,kg,76751063.384
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2016,kt,1.4775
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2016,kt,1.2061
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2016,kt,0.2714
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2017,kg,82505265.0659
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2017,kt,1.5882
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2017,kt,1.2965
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2017,kt,0.2917
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2018,kg,75300234.4937
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2018,kt,1.4495
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2018,kt,1.1833
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2018,kt,0.2662
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2019,kg,91749921.5922
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2019,kt,1.7662
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2019,kt,1.4418
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2019,kt,0.3244
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2020,kg,93718704.0568
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2020,kt,1.8041
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2020,kt,1.4727
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2020,kt,0.3314
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2021,kg,80150169.3442
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2021,kt,1.5429
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2021,kt,1.2595
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2021,kt,0.2834
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2022,kg,84397661.8229
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2022,kt,1.6247
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2022,kt,1.3262
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2022,kt,0.2984
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),2023,kg,80100664.7009
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),2023,kt,1.5419
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),2023,kt,1.2587
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),2023,kt,0.2832
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (N content),1970,kg,17013.089
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Emissions N2O),1970,kt,3e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Direct emissions N2O),1970,kt,3e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Indirect emissions N2O),1970,kt,1e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),"Burning crop residues (Biomass burned, dry matter)",1970,t,500
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions N2O),1970,kt,0
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions CH4),1970,kt,0.0014
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (N content),1971,kg,41474.8604
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Emissions N2O),1971,kt,8e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Direct emissions N2O),1971,kt,7e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Indirect emissions N2O),1971,kt,1e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),"Burning crop residues (Biomass burned, dry matter)",1971,t,1000
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions N2O),1971,kt,1e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions CH4),1971,kt,0.0027
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (N content),1972,kg,51039.2669
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Emissions N2O),1972,kt,0.001
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Direct emissions N2O),1972,kt,8e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Indirect emissions N2O),1972,kt,2e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),"Burning crop residues (Biomass burned, dry matter)",1972,t,1500
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions N2O),1972,kt,1e-4
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Burning crop residues (Emissions CH4),1972,kt,0.0041
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (N content),1973,kg,51039.2669
United Kingdom of Great Britain and Northern Ireland,Maize (corn),Crop residues (Emissions N2O),1973,kt,0.001
